,word,tag,ipa
0,-ithe,,"i(ː)ʃtʲə, iː"
23,Fraince,Ulster; Connacht,ˈfˠɾˠæɲcɪ
55,ae,,eː
58,aice,,"ˈacɪ, ˈɛcɪ"
61,aige,Connacht,ˈeɟ(ə)
65,aisce,,ˈaʃcɪ
91,beiche,,ˈbʲɛçɪ
96,bhfeice,,ˈvʲɛcɪ
103,bige,,ˈbʲɪɟɪ
108,blaoisce,Ulster; Connacht,ˈbˠlˠiːʃcɪ
114,breilsce,,ˈbʲɾʲɪl̠ʲʃcɪ
117,brice,,ˈbʲɾʲɪcɪ
122,bréige,,ˈbʲɾʲeːɟɪ
123,bríce,,ˈbʲɾʲiːcɪ
125,bróige,,ˈbˠɾˠoːɟɪ
127,buail an t-iarann te,,bˠuəlʲ ə tʲiəɾˠən̪ˠ tʲɛ
132,buille,,
145,cad chuige,,"kəˈt̪ˠiɟə, kəˈt̪ˠiː(j)ə, kəˈt̪ˠɨɟə, ɡəˈt̪ˠiɟə, ɡəˈt̪ˠiː(ə)"
177,chuir i dtaisce,,ˌxɪɾʲ əˈd̪ˠaʃcɪ
216,critice,,ˈcɾʲɪtʲɪcɪ
218,croíthe,,ˈkɾˠiːhɪ
219,crua-ae,,"ˈkɾˠuajə, ˈkɾˠuəiju, ˈkɾˠuəɡi"
223,críochnaithe,,ˈcɾʲiːxn̪ˠɪhɪ
224,cuir i dtaisce,,ˌkɪɾʲ əˈd̪ˠaʃcɪ
240,cúige,Munster; Connacht,ˈkuːɟɪ
241,cúinge,Connacht,ˈkuːɲɪ
248,dar le,,d̪ˠaɾˠ lʲɛ
249,de,,"dʲə, dʲɛ"
250,deice,,ˈdʲɛcɪ
253,deirge,,ˈdʲɛɾʲɪɟɪ
258,dhe,,jɛ
280,dtae,,d̪ˠeː
282,dtaisce,,ˈd̪ˠaʃcɪ
283,dte,,dʲɛ
284,dtithe,,ˈdʲɪhɪ
291,déirce,,"ˈdʲeːɾʲcə, ˈdʲeːɾʲcɪ"
296,dóiche,,ˈd̪ˠɔ(ː)içɪ
315,feice,,ˈfʲɛcɪ
319,feirge,,ˈfʲɛɾʲɪɟɪ
323,fharraige,,ˈaɾˠəɟɪ
347,fuisce,,ˈfˠɪʃcɪ
359,gach uile,Aran; uncommon; Connacht,ˈxɯlʲə(corresponding to the form
361,gae,,ɡeː
362,gaige,,ˈɡaɟɪ
367,gaisce,,ˈɡaʃcɪ
388,glice,,ˈɟlʲɪcɪ
402,gróite,Connacht,ˈɡɾˠoːtʲiː
410,hae,,heː
412,haige,,ˈhaɟɪ
422,i dtaca le,,(ə)ˈd̪ˠakə lʲe
428,imithe,Cois-Fharraige; Aran; Connacht,ˈimʲiː
430,in aice,Ulster; Connacht,əˈn̪ˠacɪ
442,ithe,,
443,lae,,l̪ˠeː
444,laethe,,ˈl̪ˠeːhɪ
446,laige,,ˈl̪ˠaɟɪ
447,le,,lʲɛ
449,leice,,ˈl̠ʲɛcɪ
450,leisce,Ulster; Connacht,ˈl̠ʲɛʃcɪ
454,lice,,ˈl̠ʲɪcɪ
456,ligthe,,ˈl̠ʲɪcɪ
463,lonnaithe,Connacht,ˈl̪ˠɔn̪ˠiː
464,luaidhe,,ˈl̪ˠuː.iː
477,madra uisce,,ˈmˠad̪ˠɾˠə ˈɪʃcɪ
491,meisce,Munster; Connacht,ˈmʲɛʃcɪ
495,mhaige,Ulster; Connacht,ˈwæɟɪ
509,muice,,ˈmˠɪcɪ
524,n-ae,,n̪ˠeː
527,nae,,n̪ˠeː
532,nighe,Munster; Connacht,n̠ʲiː
545,oifige,,ˈɛfʲɪɟɪ
549,oscailte,,ˈɔsˠkɪlʲtʲɪ
550,oíche,,
552,pastae,,ˈpˠasˠt̪ˠeː
554,pice,,ˈpʲɪcɪ
555,pince,,ˈpʲɪɲcɪ
559,plaice,,ˈpˠlˠacɪ
569,píce,,ˈpʲiːcɪ
575,rince,Connacht,ˈɾˠɪɲcɪ
616,sine,,
620,slige,,ˈʃl̠ʲɪɟɪ
628,snaidhmthe,,
632,sothuigthe,,ˈsˠɔˌhɪcɪ
646,súiche,,"ˈsˠuːçɪ, ˈsˠui̯çɪ"
651,t-ae,,t̪ˠeː
652,t-uisce,,ˈt̪ˠɪʃcɪ
654,tae,,t̪ˠeː
660,taisce,,ˈt̪ˠaʃcɪ
663,te,,tʲe(h)
666,thae,,heː
672,the,,hɛ
674,thithe,,ˈhɪhɪ
676,tige,,ˈtʲɪɟɪ
681,tithe,,ˈtʲɪhɪ
688,tréigthe,,"ˈtʲɾʲeːcə, ˈtʲɾʲei̯cə, ˈtʲɾʲeːcɪ"
701,tánaiste,,
707,túisce,,ˈt̪ˠuːʃcɪ
711,uinge,,"ˈɪɲɟɪ, ˈɪɲɪ"
712,uisce,,"ˈiʃcə, ˈiʃcɪ"
713,wae,,weː
714,zae,,zeː
718,áitithe,Connacht,ˈɑːtʲiː
725,óige,Munster; Connacht,ˈoːɟɪ
